# z, dndz
1.666666666666666644e-02 2.632946627080854363e+00
5.000000000000000278e-02 9.210049624595038154e+01
8.333333333333334259e-02 4.587063268977961457e+02
1.166666666666666685e-01 1.326675364470208933e+03
1.499999999999999944e-01 3.005121104706177903e+03
1.833333333333333481e-01 5.896131281077131462e+03
2.166666666666666741e-01 1.048928221004003717e+04
2.500000000000000000e-01 1.734446121981285614e+04
2.833333333333333259e-01 2.706527246933386414e+04
3.166666666666666519e-01 4.026771974492938170e+04
3.499999999999999778e-01 5.754956339183290402e+04
3.833333333333333037e-01 7.946466795085390913e+04
4.166666666666666852e-01 1.065045953816082765e+05
4.500000000000000111e-01 1.390876705666293856e+05
4.833333333333333370e-01 1.775543919969123381e+05
5.166666666666666075e-01 2.221675022811775270e+05
5.500000000000000444e-01 2.731150608652780065e+05
5.833333333333332593e-01 3.305151846608229098e+05
6.166666666666666963e-01 3.944215179421982612e+05
6.499999999999999112e-01 4.648288405004774686e+05
6.833333333333333481e-01 5.416784815896382788e+05
7.166666666666665630e-01 6.248633791331471875e+05
7.500000000000000000e-01 7.142327280568534043e+05
7.833333333333333259e-01 8.095962195343457861e+05
8.166666666666666519e-01 9.107279015535580693e+05
8.500000000000000888e-01 1.017369702679371578e+06
8.833333333333333037e-01 1.129234663027158706e+06
9.166666666666667407e-01 1.246009913990814472e+06
9.499999999999999556e-01 1.367359443858881015e+06
9.833333333333333925e-01 1.492926681517567253e+06
1.016666666666666607e+00 1.622336925668112002e+06
1.049999999999999822e+00 1.755199642664894229e+06
1.083333333333333481e+00 1.891110652288803831e+06
1.116666666666666696e+00 2.029654217486260459e+06
1.149999999999999911e+00 2.170405051275820471e+06
1.183333333333333348e+00 2.312930251578014810e+06
1.216666666666666785e+00 2.456791172600472812e+06
1.250000000000000000e+00 2.601545239558111876e+06
1.283333333333333215e+00 2.746747711879570037e+06
1.316666666666666652e+00 2.891953398617585655e+06
1.350000000000000089e+00 3.036718328516790178e+06
1.383333333333333304e+00 3.180601376074905973e+06
1.416666666666666519e+00 3.323165843952794559e+06
1.449999999999999956e+00 3.463981001233690884e+06
1.483333333333333393e+00 3.602623576287808828e+06
1.516666666666666607e+00 3.738679202368619852e+06
1.549999999999999822e+00 3.871743813537365757e+06
1.583333333333333481e+00 4.001424988077034708e+06
1.616666666666666696e+00 4.127343236225712113e+06
1.649999999999999911e+00 4.249133228799385950e+06
1.683333333333333348e+00 4.366444963115322404e+06
1.716666666666666785e+00 4.478944862540727481e+06
1.750000000000000000e+00 4.586316805969662033e+06
1.783333333333333215e+00 4.688263083606304601e+06
1.816666666666666652e+00 4.784505275539036840e+06
1.850000000000000089e+00 4.874785049788326956e+06
1.883333333333333304e+00 4.958864876744515263e+06
1.916666666666666519e+00 5.036528657200998627e+06
1.949999999999999956e+00 5.107582261530043557e+06
1.983333333333333393e+00 5.171853977917834185e+06
2.016666666666666607e+00 5.229194867988527752e+06
2.049999999999999822e+00 5.279479028582599014e+06
2.083333333333333037e+00 5.322603758924322203e+06
2.116666666666666696e+00 5.358489632883125916e+06
2.149999999999999911e+00 5.387080476537600160e+06
2.183333333333333570e+00 5.408343251748409122e+06
2.216666666666666785e+00 5.422267846945550293e+06
2.250000000000000000e+00 5.253951743127883412e+06
2.283333333333333215e+00 5.088091602727600373e+06
2.316666666666666430e+00 4.924841145728813484e+06
2.350000000000000089e+00 4.764337038178020157e+06
2.383333333333333304e+00 4.606699856886392459e+06
