# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.0936e+03 4.8343e-02 -3.5330e-03 2.1614e+03 2.3292e+03 -4.1803e-03 1.4577e+02 3.0038e-02 2.5999e-02 1.9543e-02 3.8860e+02 2.5901e+02 0.0000e+00 0.0000e+00
1.0842e-03 1.1782e+03 5.0338e-02 -4.4578e-03 2.3342e+03 2.3533e+03 -4.8954e-03 1.4577e+02 3.5317e-02 3.0563e-02 2.2945e-02 3.8858e+02 2.5898e+02 0.0000e+00 0.0000e+00
1.1756e-03 1.2691e+03 5.2639e-02 -5.6255e-03 2.5195e+03 2.3810e+03 -5.7291e-03 1.4577e+02 4.1526e-02 3.5925e-02 2.6932e-02 3.8855e+02 2.5895e+02 0.0000e+00 0.0000e+00
1.2746e-03 1.3666e+03 5.5333e-02 -7.0994e-03 2.7180e+03 2.4127e+03 -6.6997e-03 1.4577e+02 4.8827e-02 4.2224e-02 3.1605e-02 3.8852e+02 2.5891e+02 0.0000e+00 0.0000e+00
1.3819e-03 1.4711e+03 5.8533e-02 -8.9594e-03 2.9304e+03 2.4489e+03 -7.8277e-03 1.4577e+02 5.7414e-02 4.9621e-02 3.7078e-02 3.8848e+02 2.5886e+02 0.0000e+00 0.0000e+00
1.4983e-03 1.5830e+03 6.2389e-02 -1.1306e-02 3.1572e+03 2.4902e+03 -9.1361e-03 1.4577e+02 6.7514e-02 5.8306e-02 4.3483e-02 3.8844e+02 2.5880e+02 0.0000e+00 0.0000e+00
1.6246e-03 1.7026e+03 6.7098e-02 -1.4263e-02 3.3993e+03 2.5372e+03 -1.0650e-02 1.4576e+02 7.9395e-02 6.8496e-02 5.0975e-02 3.8839e+02 2.5874e+02 0.0000e+00 0.0000e+00
1.7614e-03 1.8303e+03 7.2920e-02 -1.7987e-02 3.6570e+03 2.5906e+03 -1.2398e-02 1.4576e+02 9.3372e-02 8.0447e-02 5.9731e-02 3.8832e+02 2.5866e+02 0.0000e+00 0.0000e+00
1.9098e-03 1.9663e+03 8.0198e-02 -2.2670e-02 3.9311e+03 2.6512e+03 -1.4408e-02 1.4576e+02 1.0982e-01 9.4454e-02 6.9955e-02 3.8825e+02 2.5857e+02 0.0000e+00 0.0000e+00
2.0706e-03 2.1110e+03 8.9379e-02 -2.8552e-02 4.2219e+03 2.7197e+03 -1.6711e-02 1.4576e+02 1.2917e-01 1.1085e-01 8.1878e-02 3.8817e+02 2.5846e+02 0.0000e+00 0.0000e+00
2.2450e-03 2.2643e+03 1.0105e-01 -3.5924e-02 4.5298e+03 2.7970e+03 -1.9337e-02 1.4575e+02 1.5195e-01 1.3004e-01 9.5767e-02 3.8807e+02 2.5834e+02 0.0000e+00 0.0000e+00
2.4341e-03 2.4266e+03 1.1597e-01 -4.5144e-02 4.8551e+03 2.8838e+03 -2.2315e-02 1.4575e+02 1.7876e-01 1.5245e-01 1.1192e-01 3.8795e+02 2.5819e+02 0.0000e+00 0.0000e+00
2.6392e-03 2.5977e+03 1.3514e-01 -5.6646e-02 5.1980e+03 2.9811e+03 -2.5668e-02 1.4574e+02 2.1033e-01 1.7858e-01 1.3068e-01 3.8781e+02 2.5802e+02 0.0000e+00 0.0000e+00
