#       q          E0lin        Elin         E2lin      E0loop220    E0loop130    E0loop22     E0loop13     E2loop22     E2loop13      E1loop       E3loop         Xi          Zeta          Chi        U10lin         U3           U11          U20          V10          V12          X10          Y10          X20          Y20     
1.000000e-06 1.108941e+02 1.108941e+02 5.122946e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 2.884224e-10 1.975038e-09 2.557492e-07 -1.743925e-14 4.516034e+02 3.642756e+04 6.705667e+02 -2.317392e-04 -2.102303e-03 -9.443861e-03 -5.219149e-03 1.396721e-03 2.537608e-03 4.256435e-03 1.010534e-08 8.002804e-09 1.600200e-09
1.002998e-06 1.108941e+02 1.108941e+02 5.146442e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 2.899436e-10 1.984844e-09 2.564029e-07 -1.756584e-14 4.513853e+02 3.639244e+04 6.701233e+02 -2.322081e-04 -2.107406e-03 -9.466635e-03 -5.232289e-03 1.400239e-03 2.542647e-03 4.256471e-03 1.015672e-08 8.040219e-09 1.607336e-09
1.006005e-06 1.108941e+02 1.108941e+02 5.170046e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 2.914728e-10 1.994699e-09 2.570583e-07 -1.769335e-14 4.511673e+02 3.635735e+04 6.696802e+02 -2.326779e-04 -2.112521e-03 -9.489465e-03 -5.245461e-03 1.403765e-03 2.547695e-03 4.256507e-03 1.020835e-08 8.077809e-09 1.614505e-09
1.009021e-06 1.108941e+02 1.108941e+02 5.193759e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 2.930101e-10 2.004603e-09 2.577152e-07 -1.782178e-14 4.509494e+02 3.632229e+04 6.692374e+02 -2.331487e-04 -2.117648e-03 -9.512349e-03 -5.258666e-03 1.407300e-03 2.552754e-03 4.256543e-03 1.026025e-08 8.115574e-09 1.621704e-09
1.012047e-06 1.108941e+02 1.108941e+02 5.217580e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 2.945555e-10 2.014556e-09 2.583738e-07 -1.795115e-14 4.507316e+02 3.628727e+04 6.687949e+02 -2.336204e-04 -2.122788e-03 -9.535288e-03 -5.271905e-03 1.410844e-03 2.557822e-03 4.256580e-03 1.031241e-08 8.153516e-09 1.628936e-09
1.015081e-06 1.108941e+02 1.108941e+02 5.241510e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 2.961091e-10 2.024559e-09 2.590340e-07 -1.808145e-14 4.505140e+02 3.625228e+04 6.683527e+02 -2.340931e-04 -2.127940e-03 -9.558283e-03 -5.285177e-03 1.414397e-03 2.562901e-03 4.256616e-03 1.036484e-08 8.191636e-09 1.636200e-09
1.018124e-06 1.108941e+02 1.108941e+02 5.265550e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 2.976708e-10 2.034611e-09 2.596958e-07 -1.821270e-14 4.502964e+02 3.621733e+04 6.679108e+02 -2.345667e-04 -2.133105e-03 -9.581334e-03 -5.298483e-03 1.417959e-03 2.567990e-03 4.256652e-03 1.041753e-08 8.229933e-09 1.643496e-09
1.021177e-06 1.108941e+02 1.108941e+02 5.289700e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 2.992408e-10 2.044713e-09 2.603593e-07 -1.834491e-14 4.500789e+02 3.618241e+04 6.674692e+02 -2.350413e-04 -2.138282e-03 -9.604439e-03 -5.311821e-03 1.421530e-03 2.573088e-03 4.256689e-03 1.047049e-08 8.268410e-09 1.650824e-09
1.024238e-06 1.108941e+02 1.108941e+02 5.313962e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 3.008191e-10 2.054865e-09 2.610244e-07 -1.847807e-14 4.498616e+02 3.614752e+04 6.670279e+02 -2.355169e-04 -2.143472e-03 -9.627601e-03 -5.325194e-03 1.425110e-03 2.578197e-03 4.256725e-03 1.052372e-08 8.307067e-09 1.658185e-09
1.027309e-06 1.108941e+02 1.108941e+02 5.338334e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083796e+01 3.024056e-10 2.065068e-09 2.616912e-07 -1.861220e-14 4.496443e+02 3.611266e+04 6.665868e+02 -2.359934e-04 -2.148675e-03 -9.650819e-03 -5.338600e-03 1.428699e-03 2.583316e-03 4.256761e-03 1.057722e-08 8.345904e-09 1.665579e-09
