# k[h/Mpc]   Q1   Q2    Q3    Q5    Q8     Qs2    
# 
1.0000e-04 4.5674e-07 -1.1236e-07 1.7229e-07 1.7219e-07 9.3861e-03 1.8771e-02
1.0093e-04 4.7382e-07 -1.1654e-07 1.7875e-07 1.7864e-07 9.5607e-03 1.9120e-02
1.0186e-04 4.9153e-07 -1.2088e-07 1.8544e-07 1.8533e-07 9.7385e-03 1.9476e-02
1.0280e-04 5.0991e-07 -1.2539e-07 1.9238e-07 1.9226e-07 9.9197e-03 1.9838e-02
1.0375e-04 5.2898e-07 -1.3005e-07 1.9959e-07 1.9946e-07 1.0104e-02 2.0207e-02
1.0472e-04 5.4876e-07 -1.3490e-07 2.0706e-07 2.0693e-07 1.0292e-02 2.0583e-02
1.0568e-04 5.6927e-07 -1.3992e-07 2.1481e-07 2.1468e-07 1.0484e-02 2.0965e-02
1.0666e-04 5.9056e-07 -1.4513e-07 2.2286e-07 2.2271e-07 1.0679e-02 2.1355e-02
1.0765e-04 6.1263e-07 -1.5053e-07 2.3120e-07 2.3105e-07 1.0877e-02 2.1753e-02
1.0865e-04 6.3554e-07 -1.5614e-07 2.3986e-07 2.3970e-07 1.1080e-02 2.2157e-02
1.0965e-04 6.5929e-07 -1.6195e-07 2.4884e-07 2.4867e-07 1.1286e-02 2.2569e-02
1.1067e-04 6.8394e-07 -1.6798e-07 2.5815e-07 2.5798e-07 1.1496e-02 2.2989e-02
1.1169e-04 7.0950e-07 -1.7423e-07 2.6782e-07 2.6764e-07 1.1709e-02 2.3417e-02
1.1273e-04 7.3602e-07 -1.8071e-07 2.7785e-07 2.7765e-07 1.1927e-02 2.3852e-02
1.1377e-04 7.6353e-07 -1.8744e-07 2.8825e-07 2.8805e-07 1.2149e-02 2.4296e-02
1.1482e-04 7.9207e-07 -1.9441e-07 2.9904e-07 2.9883e-07 1.2375e-02 2.4748e-02
1.1589e-04 8.2167e-07 -2.0165e-07 3.1023e-07 3.1001e-07 1.2605e-02 2.5208e-02
1.1696e-04 8.5238e-07 -2.0915e-07 3.2185e-07 3.2161e-07 1.2840e-02 2.5677e-02
1.1804e-04 8.8423e-07 -2.1693e-07 3.3389e-07 3.3365e-07 1.3078e-02 2.6154e-02
1.1913e-04 9.1727e-07 -2.2500e-07 3.4639e-07 3.4614e-07 1.3322e-02 2.6641e-02
1.2024e-04 9.5155e-07 -2.3337e-07 3.5936e-07 3.5909e-07 1.3569e-02 2.7136e-02
1.2135e-04 9.8710e-07 -2.4204e-07 3.7281e-07 3.7253e-07 1.3822e-02 2.7641e-02
1.2247e-04 1.0240e-06 -2.5105e-07 3.8676e-07 3.8647e-07 1.4079e-02 2.8155e-02
1.2361e-04 1.0622e-06 -2.6038e-07 4.0124e-07 4.0093e-07 1.4341e-02 2.8679e-02
1.2475e-04 1.1019e-06 -2.7006e-07 4.1625e-07 4.1593e-07 1.4608e-02 2.9212e-02
1.2591e-04 1.1431e-06 -2.8010e-07 4.3183e-07 4.3149e-07 1.4879e-02 2.9755e-02
1.2707e-04 1.1858e-06 -2.9052e-07 4.4799e-07 4.4764e-07 1.5156e-02 3.0309e-02
1.2825e-04 1.2301e-06 -3.0131e-07 4.6476e-07 4.6439e-07 1.5438e-02 3.0872e-02
1.2944e-04 1.2760e-06 -3.1251e-07 4.8215e-07 4.8176e-07 1.5725e-02 3.1446e-02
1.3063e-04 1.3237e-06 -3.2413e-07 5.0019e-07 4.9979e-07 1.6018e-02 3.2031e-02
1.3184e-04 1.3731e-06 -3.3617e-07 5.1891e-07 5.1848e-07 1.6316e-02 3.2627e-02
1.3306e-04 1.4244e-06 -3.4867e-07 5.3833e-07 5.3788e-07 1.6619e-02 3.3234e-02
1.3430e-04 1.4776e-06 -3.6162e-07 5.5847e-07 5.5800e-07 1.6928e-02 3.3852e-02
1.3554e-04 1.5328e-06 -3.7506e-07 5.7937e-07 5.7888e-07 1.7243e-02 3.4481e-02
1.3679e-04 1.5900e-06 -3.8899e-07 6.0104e-07 6.0053e-07 1.7564e-02 3.5123e-02
1.3806e-04 1.6494e-06 -4.0344e-07 6.2353e-07 6.2299e-07 1.7890e-02 3.5776e-02
1.3934e-04 1.7110e-06 -4.1842e-07 6.4686e-07 6.4629e-07 1.8223e-02 3.6441e-02
1.4063e-04 1.7749e-06 -4.3396e-07 6.7106e-07 6.7047e-07 1.8562e-02 3.7119e-02
1.4193e-04 1.8412e-06 -4.5008e-07 6.9617e-07 6.9554e-07 1.8907e-02 3.7809e-02
1.4324e-04 1.9099e-06 -4.6679e-07 7.2221e-07 7.2156e-07 1.9259e-02 3.8512e-02
1.4457e-04 1.9812e-06 -4.8412e-07 7.4923e-07 7.4854e-07 1.9617e-02 3.9229e-02
1.4591e-04 2.0552e-06 -5.0209e-07 7.7725e-07 7.7654e-07 1.9982e-02 3.9958e-02
1.4726e-04 2.1319e-06 -5.2073e-07 8.0633e-07 8.0558e-07 2.0354e-02 4.0701e-02
1.4862e-04 2.2115e-06 -5.4006e-07 8.3649e-07 8.3570e-07 2.0732e-02 4.1458e-02
1.5000e-04 2.2940e-06 -5.6010e-07 8.6778e-07 8.6695e-07 2.1118e-02 4.2229e-02
1.5139e-04 2.3796e-06 -5.8088e-07 9.0023e-07 8.9937e-07 2.1511e-02 4.3015e-02
1.5279e-04 2.4684e-06 -6.0244e-07 9.3391e-07 9.3300e-07 2.1911e-02 4.3815e-02
1.5420e-04 2.5606e-06 -6.2479e-07 9.6883e-07 9.6788e-07 2.2319e-02 4.4629e-02
1.5563e-04 2.6561e-06 -6.4796e-07 1.0051e-06 1.0041e-06 2.2734e-02 4.5459e-02
1.5707e-04 2.7552e-06 -6.7200e-07 1.0427e-06 1.0416e-06 2.3157e-02 4.6305e-02
1.5853e-04 2.8580e-06 -6.9692e-07 1.0816e-06 1.0806e-06 2.3587e-02 4.7166e-02
1.5999e-04 2.9647e-06 -7.2277e-07 1.1221e-06 1.1209e-06 2.4026e-02 4.8043e-02
1.6147e-04 3.0753e-06 -7.4957e-07 1.1641e-06 1.1629e-06 2.4473e-02 4.8936e-02
1.6297e-04 3.1900e-06 -7.7736e-07 1.2076e-06 1.2063e-06 2.4928e-02 4.9846e-02
1.6448e-04 3.3090e-06 -8.0618e-07 1.2527e-06 1.2514e-06 2.5392e-02 5.0773e-02
1.6600e-04 3.4324e-06 -8.3606e-07 1.2996e-06 1.2982e-06 2.5864e-02 5.1718e-02
1.6754e-04 3.5605e-06 -8.6705e-07 1.3482e-06 1.3467e-06 2.6345e-02 5.2679e-02
1.6909e-04 3.6933e-06 -8.9919e-07 1.3986e-06 1.3970e-06 2.6835e-02 5.3659e-02
1.7065e-04 3.8310e-06 -9.3251e-07 1.4509e-06 1.4493e-06 2.7334e-02 5.4657e-02
1.7223e-04 3.9739e-06 -9.6706e-07 1.5051e-06 1.5034e-06 2.7843e-02 5.5673e-02
1.7383e-04 4.1221e-06 -1.0029e-06 1.5614e-06 1.5596e-06 2.8360e-02 5.6709e-02
1.7544e-04 4.2758e-06 -1.0400e-06 1.6197e-06 1.6179e-06 2.8888e-02 5.7763e-02
1.7706e-04 4.4352e-06 -1.0786e-06 1.6803e-06 1.6783e-06 2.9425e-02 5.8837e-02
1.7870e-04 4.6006e-06 -1.1185e-06 1.7431e-06 1.7411e-06 2.9973e-02 5.9931e-02
1.8035e-04 4.7721e-06 -1.1599e-06 1.8082e-06 1.8061e-06 3.0530e-02 6.1046e-02
1.8202e-04 4.9500e-06 -1.2029e-06 1.8758e-06 1.8736e-06 3.1098e-02 6.2181e-02
1.8371e-04 5.1346e-06 -1.2474e-06 1.9459e-06 1.9436e-06 3.1676e-02 6.3337e-02
1.8541e-04 5.3260e-06 -1.2936e-06 2.0187e-06 2.0162e-06 3.2266e-02 6.4515e-02
1.8713e-04 5.5245e-06 -1.3414e-06 2.0941e-06 2.0915e-06 3.2866e-02 6.5715e-02
1.8886e-04 5.7304e-06 -1.3911e-06 2.1724e-06 2.1697e-06 3.3477e-02 6.6937e-02
1.9061e-04 5.9440e-06 -1.4426e-06 2.2535e-06 2.2507e-06 3.4100e-02 6.8181e-02
1.9237e-04 6.1655e-06 -1.4959e-06 2.3378e-06 2.3348e-06 3.4734e-02 6.9449e-02
1.9415e-04 6.3952e-06 -1.5513e-06 2.4251e-06 2.4220e-06 3.5380e-02 7.0741e-02
1.9595e-04 6.6335e-06 -1.6086e-06 2.5157e-06 2.5124e-06 3.6038e-02 7.2056e-02
1.9776e-04 6.8807e-06 -1.6681e-06 2.6097e-06 2.6063e-06 3.6708e-02 7.3396e-02
1.9960e-04 7.1371e-06 -1.7298e-06 2.7072e-06 2.7036e-06 3.7391e-02 7.4761e-02
2.0144e-04 7.4029e-06 -1.7938e-06 2.8084e-06 2.8046e-06 3.8086e-02 7.6151e-02
2.0331e-04 7.6787e-06 -1.8601e-06 2.9133e-06 2.9093e-06 3.8795e-02 7.7567e-02
2.0519e-04 7.9647e-06 -1.9288e-06 3.0221e-06 3.0180e-06 3.9516e-02 7.9009e-02
2.0709e-04 8.2614e-06 -2.0001e-06 3.1350e-06 3.1306e-06 4.0251e-02 8.0478e-02
2.0901e-04 8.5691e-06 -2.0740e-06 3.2521e-06 3.2475e-06 4.1000e-02 8.1974e-02
2.1094e-04 8.8882e-06 -2.1507e-06 3.3736e-06 3.3688e-06 4.1763e-02 8.3499e-02
2.1289e-04 9.2192e-06 -2.2301e-06 3.4996e-06 3.4946e-06 4.2539e-02 8.5051e-02
2.1487e-04 9.5625e-06 -2.3125e-06 3.6303e-06 3.6250e-06 4.3331e-02 8.6633e-02
2.1685e-04 9.9186e-06 -2.3979e-06 3.7659e-06 3.7603e-06 4.4137e-02 8.8243e-02
2.1886e-04 1.0288e-05 -2.4864e-06 3.9065e-06 3.9007e-06 4.4957e-02 8.9884e-02
2.2089e-04 1.0671e-05 -2.5782e-06 4.0524e-06 4.0463e-06 4.5794e-02 9.1555e-02
2.2293e-04 1.1068e-05 -2.6734e-06 4.2037e-06 4.1973e-06 4.6645e-02 9.3258e-02
2.2500e-04 1.1480e-05 -2.7721e-06 4.3607e-06 4.3540e-06 4.7513e-02 9.4991e-02
2.2708e-04 1.1907e-05 -2.8744e-06 4.5235e-06 4.5165e-06 4.8397e-02 9.6758e-02
2.2918e-04 1.2350e-05 -2.9804e-06 4.6924e-06 4.6850e-06 4.9297e-02 9.8557e-02
2.3130e-04 1.2810e-05 -3.0904e-06 4.8676e-06 4.8599e-06 5.0214e-02 1.0039e-01
2.3344e-04 1.3287e-05 -3.2044e-06 5.0493e-06 5.0412e-06 5.1148e-02 1.0226e-01
2.3561e-04 1.3781e-05 -3.3226e-06 5.2378e-06 5.2293e-06 5.2099e-02 1.0416e-01
2.3779e-04 1.4294e-05 -3.4451e-06 5.4333e-06 5.4244e-06 5.3068e-02 1.0609e-01
2.3999e-04 1.4826e-05 -3.5721e-06 5.6361e-06 5.6268e-06 5.4055e-02 1.0807e-01
2.4221e-04 1.5377e-05 -3.7038e-06 5.8465e-06 5.8367e-06 5.5060e-02 1.1007e-01
2.4445e-04 1.5949e-05 -3.8403e-06 6.0647e-06 6.0544e-06 5.6084e-02 1.1212e-01
2.4672e-04 1.6542e-05 -3.9818e-06 6.2911e-06 6.2803e-06 5.7128e-02 1.1421e-01
2.4900e-04 1.7158e-05 -4.1285e-06 6.5259e-06 6.5145e-06 5.8190e-02 1.1633e-01
2.5130e-04 1.7796e-05 -4.2806e-06 6.7694e-06 6.7575e-06 5.9272e-02 1.1849e-01
2.5363e-04 1.8457e-05 -4.4383e-06 7.0220e-06 7.0095e-06 6.0375e-02 1.2069e-01
2.5598e-04 1.9144e-05 -4.6017e-06 7.2841e-06 7.2709e-06 6.1498e-02 1.2294e-01
2.5835e-04 1.9855e-05 -4.7712e-06 7.5558e-06 7.5421e-06 6.2641e-02 1.2522e-01
2.6074e-04 2.0593e-05 -4.9468e-06 7.8378e-06 7.8233e-06 6.3806e-02 1.2755e-01
2.6315e-04 2.1359e-05 -5.1289e-06 8.1302e-06 8.1150e-06 6.4993e-02 1.2992e-01
2.6559e-04 2.2153e-05 -5.3177e-06 8.4335e-06 8.4176e-06 6.6202e-02 1.3234e-01
2.6805e-04 2.2976e-05 -5.5133e-06 8.7481e-06 8.7314e-06 6.7433e-02 1.3480e-01
2.7053e-04 2.3830e-05 -5.7161e-06 9.0744e-06 9.0569e-06 6.8687e-02 1.3730e-01
2.7303e-04 2.4716e-05 -5.9264e-06 9.4129e-06 9.3945e-06 6.9965e-02 1.3986e-01
2.7556e-04 2.5634e-05 -6.1443e-06 9.7640e-06 9.7447e-06 7.1266e-02 1.4246e-01
2.7811e-04 2.6586e-05 -6.3703e-06 1.0128e-05 1.0108e-05 7.2592e-02 1.4510e-01
2.8069e-04 2.7574e-05 -6.6044e-06 1.0506e-05 1.0485e-05 7.3942e-02 1.4780e-01
2.8329e-04 2.8598e-05 -6.8472e-06 1.0898e-05 1.0875e-05 7.5317e-02 1.5055e-01
2.8591e-04 2.9660e-05 -7.0988e-06 1.1304e-05 1.1281e-05 7.6718e-02 1.5335e-01
2.8856e-04 3.0762e-05 -7.3596e-06 1.1726e-05 1.1701e-05 7.8145e-02 1.5620e-01
2.9123e-04 3.1904e-05 -7.6299e-06 1.2163e-05 1.2137e-05 7.9598e-02 1.5910e-01
2.9392e-04 3.3089e-05 -7.9101e-06 1.2616e-05 1.2589e-05 8.1078e-02 1.6206e-01
2.9664e-04 3.4317e-05 -8.2006e-06 1.3087e-05 1.3058e-05 8.2586e-02 1.6507e-01
2.9939e-04 3.5591e-05 -8.5017e-06 1.3575e-05 1.3545e-05 8.4122e-02 1.6814e-01
3.0216e-04 3.6912e-05 -8.8137e-06 1.4081e-05 1.4049e-05 8.5687e-02 1.7126e-01
3.0496e-04 3.8282e-05 -9.1371e-06 1.4605e-05 1.4573e-05 8.7280e-02 1.7445e-01
3.0778e-04 3.9703e-05 -9.4724e-06 1.5150e-05 1.5115e-05 8.8904e-02 1.7769e-01
3.1063e-04 4.1176e-05 -9.8198e-06 1.5714e-05 1.5678e-05 9.0557e-02 1.8099e-01
3.1351e-04 4.2704e-05 -1.0180e-05 1.6300e-05 1.6262e-05 9.2241e-02 1.8435e-01
3.1641e-04 4.4289e-05 -1.0553e-05 1.6908e-05 1.6868e-05 9.3957e-02 1.8778e-01
3.1934e-04 4.5932e-05 -1.0940e-05 1.7538e-05 1.7496e-05 9.5704e-02 1.9127e-01
3.2230e-04 4.7635e-05 -1.1341e-05 1.8191e-05 1.8147e-05 9.7484e-02 1.9483e-01
3.2528e-04 4.9402e-05 -1.1757e-05 1.8869e-05 1.8823e-05 9.9297e-02 1.9845e-01
3.2829e-04 5.1234e-05 -1.2187e-05 1.9572e-05 1.9524e-05 1.0114e-01 2.0213e-01
3.3133e-04 5.3134e-05 -1.2634e-05 2.0301e-05 2.0250e-05 1.0302e-01 2.0589e-01
3.3440e-04 5.5104e-05 -1.3096e-05 2.1057e-05 2.1004e-05 1.0494e-01 2.0972e-01
3.3749e-04 5.7147e-05 -1.3576e-05 2.1842e-05 2.1786e-05 1.0689e-01 2.1361e-01
3.4062e-04 5.9266e-05 -1.4073e-05 2.2655e-05 2.2596e-05 1.0888e-01 2.1758e-01
3.4377e-04 6.1462e-05 -1.4588e-05 2.3499e-05 2.3437e-05 1.1091e-01 2.2163e-01
3.4695e-04 6.3740e-05 -1.5121e-05 2.4374e-05 2.4309e-05 1.1297e-01 2.2574e-01
3.5016e-04 6.6102e-05 -1.5675e-05 2.5282e-05 2.5214e-05 1.1507e-01 2.2994e-01
3.5341e-04 6.8552e-05 -1.6248e-05 2.6223e-05 2.6152e-05 1.1721e-01 2.3421e-01
3.5668e-04 7.1092e-05 -1.6842e-05 2.7200e-05 2.7125e-05 1.1939e-01 2.3856e-01
