# k[h/Mpc]   R1   R2 
# 
1.0000e-04 2.8206e-04 -7.0510e-05
1.0093e-04 2.8988e-04 -7.2464e-05
1.0186e-04 2.9792e-04 -7.4473e-05
1.0280e-04 3.0618e-04 -7.6537e-05
1.0375e-04 3.1466e-04 -7.8658e-05
1.0472e-04 3.2338e-04 -8.0838e-05
1.0568e-04 3.3235e-04 -8.3079e-05
1.0666e-04 3.4156e-04 -8.5382e-05
1.0765e-04 3.5103e-04 -8.7748e-05
1.0865e-04 3.6076e-04 -9.0180e-05
1.0965e-04 3.7075e-04 -9.2679e-05
1.1067e-04 3.8103e-04 -9.5248e-05
1.1169e-04 3.9159e-04 -9.7888e-05
1.1273e-04 4.0245e-04 -1.0060e-04
1.1377e-04 4.1360e-04 -1.0339e-04
1.1482e-04 4.2506e-04 -1.0625e-04
1.1589e-04 4.3684e-04 -1.0920e-04
1.1696e-04 4.4895e-04 -1.1223e-04
1.1804e-04 4.6140e-04 -1.1534e-04
1.1913e-04 4.7418e-04 -1.1853e-04
1.2024e-04 4.8733e-04 -1.2182e-04
1.2135e-04 5.0083e-04 -1.2519e-04
1.2247e-04 5.1471e-04 -1.2866e-04
1.2361e-04 5.2898e-04 -1.3223e-04
1.2475e-04 5.4364e-04 -1.3589e-04
1.2591e-04 5.5871e-04 -1.3966e-04
1.2707e-04 5.7419e-04 -1.4353e-04
1.2825e-04 5.9010e-04 -1.4751e-04
1.2944e-04 6.0646e-04 -1.5159e-04
1.3063e-04 6.2327e-04 -1.5580e-04
1.3184e-04 6.4054e-04 -1.6011e-04
1.3306e-04 6.5829e-04 -1.6455e-04
1.3430e-04 6.7653e-04 -1.6911e-04
1.3554e-04 6.9528e-04 -1.7380e-04
1.3679e-04 7.1455e-04 -1.7861e-04
1.3806e-04 7.3436e-04 -1.8356e-04
1.3934e-04 7.5471e-04 -1.8865e-04
1.4063e-04 7.7562e-04 -1.9387e-04
1.4193e-04 7.9712e-04 -1.9925e-04
1.4324e-04 8.1921e-04 -2.0477e-04
1.4457e-04 8.4191e-04 -2.1044e-04
1.4591e-04 8.6524e-04 -2.1627e-04
1.4726e-04 8.8922e-04 -2.2227e-04
1.4862e-04 9.1386e-04 -2.2842e-04
1.5000e-04 9.3918e-04 -2.3475e-04
1.5139e-04 9.6521e-04 -2.4126e-04
1.5279e-04 9.9195e-04 -2.4794e-04
1.5420e-04 1.0194e-03 -2.5481e-04
1.5563e-04 1.0477e-03 -2.6187e-04
1.5707e-04 1.0767e-03 -2.6913e-04
1.5853e-04 1.1066e-03 -2.7659e-04
1.5999e-04 1.1372e-03 -2.8425e-04
1.6147e-04 1.1687e-03 -2.9212e-04
1.6297e-04 1.2011e-03 -3.0022e-04
1.6448e-04 1.2344e-03 -3.0854e-04
1.6600e-04 1.2686e-03 -3.1708e-04
1.6754e-04 1.3037e-03 -3.2587e-04
1.6909e-04 1.3399e-03 -3.3490e-04
1.7065e-04 1.3770e-03 -3.4417e-04
1.7223e-04 1.4152e-03 -3.5371e-04
1.7383e-04 1.4544e-03 -3.6351e-04
1.7544e-04 1.4947e-03 -3.7358e-04
1.7706e-04 1.5361e-03 -3.8393e-04
1.7870e-04 1.5786e-03 -3.9456e-04
1.8035e-04 1.6224e-03 -4.0549e-04
1.8202e-04 1.6673e-03 -4.1672e-04
1.8371e-04 1.7135e-03 -4.2827e-04
1.8541e-04 1.7610e-03 -4.4013e-04
1.8713e-04 1.8098e-03 -4.5232e-04
1.8886e-04 1.8599e-03 -4.6485e-04
1.9061e-04 1.9114e-03 -4.7773e-04
1.9237e-04 1.9644e-03 -4.9096e-04
1.9415e-04 2.0188e-03 -5.0456e-04
1.9595e-04 2.0747e-03 -5.1854e-04
1.9776e-04 2.1322e-03 -5.3290e-04
1.9960e-04 2.1913e-03 -5.4766e-04
2.0144e-04 2.2520e-03 -5.6283e-04
2.0331e-04 2.3143e-03 -5.7841e-04
2.0519e-04 2.3785e-03 -5.9443e-04
2.0709e-04 2.4443e-03 -6.1090e-04
2.0901e-04 2.5120e-03 -6.2781e-04
2.1094e-04 2.5816e-03 -6.4520e-04
2.1289e-04 2.6531e-03 -6.6307e-04
2.1487e-04 2.7266e-03 -6.8143e-04
2.1685e-04 2.8021e-03 -7.0030e-04
2.1886e-04 2.8798e-03 -7.1969e-04
2.2089e-04 2.9595e-03 -7.3962e-04
2.2293e-04 3.0415e-03 -7.6010e-04
2.2500e-04 3.1257e-03 -7.8115e-04
2.2708e-04 3.2123e-03 -8.0278e-04
2.2918e-04 3.3013e-03 -8.2501e-04
2.3130e-04 3.3927e-03 -8.4785e-04
2.3344e-04 3.4866e-03 -8.7133e-04
2.3561e-04 3.5832e-03 -8.9545e-04
2.3779e-04 3.6824e-03 -9.2024e-04
2.3999e-04 3.7844e-03 -9.4572e-04
2.4221e-04 3.8892e-03 -9.7190e-04
2.4445e-04 3.9969e-03 -9.9881e-04
2.4672e-04 4.1076e-03 -1.0265e-03
2.4900e-04 4.2213e-03 -1.0549e-03
2.5130e-04 4.3382e-03 -1.0841e-03
2.5363e-04 4.4583e-03 -1.1141e-03
2.5598e-04 4.5818e-03 -1.1449e-03
2.5835e-04 4.7086e-03 -1.1766e-03
2.6074e-04 4.8390e-03 -1.2092e-03
2.6315e-04 4.9730e-03 -1.2427e-03
2.6559e-04 5.1106e-03 -1.2770e-03
2.6805e-04 5.2521e-03 -1.3124e-03
2.7053e-04 5.3975e-03 -1.3487e-03
2.7303e-04 5.5469e-03 -1.3860e-03
2.7556e-04 5.7005e-03 -1.4244e-03
2.7811e-04 5.8583e-03 -1.4638e-03
2.8069e-04 6.0205e-03 -1.5043e-03
2.8329e-04 6.1871e-03 -1.5460e-03
2.8591e-04 6.3584e-03 -1.5887e-03
2.8856e-04 6.5344e-03 -1.6327e-03
2.9123e-04 6.7152e-03 -1.6779e-03
2.9392e-04 6.9011e-03 -1.7243e-03
2.9664e-04 7.0921e-03 -1.7720e-03
2.9939e-04 7.2884e-03 -1.8210e-03
3.0216e-04 7.4901e-03 -1.8714e-03
3.0496e-04 7.6974e-03 -1.9232e-03
3.0778e-04 7.9104e-03 -1.9764e-03
3.1063e-04 8.1293e-03 -2.0310e-03
3.1351e-04 8.3542e-03 -2.0872e-03
3.1641e-04 8.5854e-03 -2.1450e-03
3.1934e-04 8.8229e-03 -2.2043e-03
3.2230e-04 9.0671e-03 -2.2653e-03
3.2528e-04 9.3179e-03 -2.3279e-03
3.2829e-04 9.5757e-03 -2.3923e-03
3.3133e-04 9.8406e-03 -2.4584e-03
3.3440e-04 1.0113e-02 -2.5264e-03
3.3749e-04 1.0393e-02 -2.5963e-03
3.4062e-04 1.0680e-02 -2.6681e-03
3.4377e-04 1.0976e-02 -2.7418e-03
3.4695e-04 1.1279e-02 -2.8177e-03
3.5016e-04 1.1591e-02 -2.8955e-03
3.5341e-04 1.1912e-02 -2.9756e-03
3.5668e-04 1.2241e-02 -3.0579e-03
3.5998e-04 1.2580e-02 -3.1424e-03
3.6331e-04 1.2928e-02 -3.2292e-03
3.6668e-04 1.3285e-02 -3.3185e-03
3.7007e-04 1.3652e-02 -3.4102e-03
3.7350e-04 1.4030e-02 -3.5045e-03
3.7695e-04 1.4418e-02 -3.6013e-03
3.8044e-04 1.4817e-02 -3.7008e-03
3.8397e-04 1.5226e-02 -3.8031e-03
3.8752e-04 1.5647e-02 -3.9082e-03
3.9111e-04 1.6080e-02 -4.0162e-03
3.9473e-04 1.6524e-02 -4.1271e-03
3.9838e-04 1.6981e-02 -4.2412e-03
4.0207e-04 1.7450e-02 -4.3583e-03
4.0579e-04 1.7933e-02 -4.4787e-03
4.0955e-04 1.8428e-02 -4.6024e-03
4.1334e-04 1.8938e-02 -4.7295e-03
4.1717e-04 1.9461e-02 -4.8602e-03
4.2103e-04 1.9999e-02 -4.9944e-03
4.2493e-04 2.0551e-02 -5.1323e-03
4.2886e-04 2.1119e-02 -5.2740e-03
4.3283e-04 2.1703e-02 -5.4197e-03
4.3684e-04 2.2302e-02 -5.5693e-03
4.4088e-04 2.2918e-02 -5.7230e-03
4.4496e-04 2.3551e-02 -5.8810e-03
4.4908e-04 2.4202e-02 -6.0434e-03
4.5324e-04 2.4870e-02 -6.2102e-03
4.5744e-04 2.5557e-02 -6.3816e-03
4.6167e-04 2.6263e-02 -6.5577e-03
4.6594e-04 2.6988e-02 -6.7387e-03
4.7026e-04 2.7734e-02 -6.9246e-03
4.7461e-04 2.8499e-02 -7.1157e-03
4.7901e-04 2.9286e-02 -7.3120e-03
4.8344e-04 3.0095e-02 -7.5137e-03
4.8792e-04 3.0926e-02 -7.7210e-03
4.9243e-04 3.1779e-02 -7.9339e-03
4.9699e-04 3.2657e-02 -8.1527e-03
5.0159e-04 3.3558e-02 -8.3776e-03
5.0624e-04 3.4484e-02 -8.6086e-03
5.1092e-04 3.5436e-02 -8.8460e-03
5.1565e-04 3.6413e-02 -9.0899e-03
5.2043e-04 3.7418e-02 -9.3405e-03
5.2524e-04 3.8451e-02 -9.5979e-03
5.3011e-04 3.9511e-02 -9.8625e-03
5.3501e-04 4.0601e-02 -1.0134e-02
5.3997e-04 4.1721e-02 -1.0414e-02
5.4496e-04 4.2872e-02 -1.0701e-02
5.5001e-04 4.4054e-02 -1.0995e-02
5.5510e-04 4.5269e-02 -1.1298e-02
5.6024e-04 4.6518e-02 -1.1610e-02
5.6543e-04 4.7800e-02 -1.1929e-02
5.7066e-04 4.9118e-02 -1.2258e-02
5.7594e-04 5.0472e-02 -1.2595e-02
5.8128e-04 5.1863e-02 -1.2942e-02
5.8666e-04 5.3293e-02 -1.3299e-02
5.9209e-04 5.4761e-02 -1.3665e-02
5.9757e-04 5.6271e-02 -1.4041e-02
6.0310e-04 5.7821e-02 -1.4427e-02
6.0868e-04 5.9414e-02 -1.4824e-02
6.1432e-04 6.1051e-02 -1.5232e-02
6.2001e-04 6.2733e-02 -1.5651e-02
6.2575e-04 6.4461e-02 -1.6082e-02
